DRY,STATIONARY,WET
7.431389713679605880e-01,2.568556192856230047e-01,5.409346416480552129e-06
2.009312817259879536e-01,6.461440662150992331e-01,1.529246520589128966e-01
8.672983398551561973e-02,2.725685538873934832e-01,6.407016121270909803e-01
