date,precip_mm,slr_m,oni_anom,precip_z,slr_z,oni_z,stress,obs_proxy
2000-01-01,16.0,-0.038,-1.66,-1.040789436301015,-1.120489032512776,-1.991831997190301,-0.21411839104138547,0.3945474502305403
2000-02-01,38.9,-0.059,-1.41,-0.7662659006584404,-1.3252494461633806,-1.6904315751431842,-0.3525281985484308,0.3306921144609616
2000-03-01,36.9,-0.064,-1.07,-0.7902417552997134,-1.3740019256040006,-1.2805270011591057,-0.2731851002631646,0.36670695951084226
2000-04-01,59.0,-0.035,-0.81,-0.5253085615136477,-1.091237544848404,-0.9670705622301045,-0.25813109514371824,0.37372667317351516
2000-05-01,32.0,-0.041,-0.71,-0.8489825991708319,-1.1497405201771482,-0.8465103934112577,-0.0897329351499801,0.4552535674248639
2000-06-01,84.4,0.042,-0.64,-0.2208152075694817,-0.3404493614628539,-0.762118275238065,-0.14415085970172836,0.4284196850186491
2000-07-01,101.5,0.091,-0.55,-0.015821650386598416,0.13732493705522325,-0.653614123301103,-0.08161451835035444,0.45928310482940177
2000-08-01,113.3,0.089,-0.51,0.1256358919969117,0.11782394527897518,-0.6053900557735643,-0.14854877356947616,0.4262671647542879
2000-09-01,110.8,0.128,-0.55,0.09566607369532056,0.49809328491581223,-0.653614123301103,-0.029127876033137212,0.48544017942874795
2000-10-01,149.1,0.184,-0.63,0.5548036900756966,1.0441210546507576,-0.7500622583561803,-0.11417798031385715,0.4431578052949857
2000-11-01,3.6,0.054,-0.75,-1.1894397350769073,-0.22344341080536567,-0.8947344609387964,0.3487399521090846,0.6676287978663704
2000-12-01,58.6,0.0,-1.65,-0.5301037324419022,-0.7499701887640631,-1.979775980308416,-0.35589438646995103,0.32920370730589277
2001-01-01,16.5,-0.123,-0.68,-1.034795472640697,-1.949281183003318,-0.8103423427656037,-0.22945508713376772,0.38724439263841903
2001-02-01,5.0,-0.147,-0.52,-1.1726566368280162,-2.1832930843182945,-0.617446072655449,-0.19214882141257,0.4050907774730685
2001-03-01,67.4,-0.113,-0.44,-0.4246099720203014,-1.8517762241220779,-0.5209979376003716,-0.44742746874654693,0.2901089557626244
2001-04-01,29.3,-0.104,-0.34,-0.8813500029365504,-1.7640217611289615,-0.400437768781525,-0.1686190806267182,0.41648051632019617
2001-05-01,93.3,0.019,-0.25,-0.11412265441581737,-0.5647107668897066,-0.2919336168445629,-0.17073862622791589,0.41545067947040754
2001-06-01,91.2,-0.105,-0.12,-0.13929730178915384,-1.7737722570170855,-0.13520539738006226,-0.4895241056865612,0.27308068014412423
2001-07-01,135.7,-0.014,-0.08,0.39416546397916813,-0.8864771311977994,-0.08698132985252362,-0.4804221373194285,0.2767091888739569
2001-08-01,109.8,0.043,-0.13,0.08367814637468411,-0.33069886557473,-0.14726141426194694,-0.17050101571215043,0.4155660922041832
2001-09-01,226.7,0.074,-0.19,1.4850668501570854,-0.028433493042885203,-0.21959751555325493,-0.7949829761020593,0.16938868727422887
2001-10-01,110.6,0.171,-0.29,0.09326848823119324,0.9173646081051454,-0.34015768437210164,0.16054360144152668,0.5795891889479499
2001-11-01,65.8,0.144,-0.35,-0.4437906557333198,0.6541012191257964,-0.4124937856634096,0.33562693647171693,0.6617838654507002
2001-12-01,55.5,0.031,-0.74,-0.5672663071358752,-0.44770481623221825,-0.8826784440569116,-0.027213980113110214,0.486396368064153
2002-01-01,16.0,-0.095,-0.15,-1.040789436301015,-1.6762672981358455,-0.17137344802571625,-0.016760160895389356,0.4916207041273767
2002-02-01,44.7,-0.04,0.03,-0.6967359221987489,-1.1399900242890242,0.045634855848207735,0.01549792498230877,0.5077483421541475
2002-03-01,33.0,-0.068,0.09,-0.8369946718501955,-1.4130039091564968,0.11797095713951573,0.0181903546060519,0.509094174271073
2002-04-01,14.7,-0.01,0.2,-1.0563737418178425,-0.8474751476453032,0.2505871428402471,0.3240617551833797,0.6565874755232038
2002-05-01,84.6,0.005,0.43,-0.21841762210535454,-0.7012177093234429,0.5278755311235944,0.004418604480363297,0.5022092878621067
2002-06-01,197.9,0.067,0.65,1.1398145433227558,-0.0966869642597533,0.7931079025250571,-0.4402917804342925,0.29305686535392883
2002-07-01,116.3,0.006,0.79,0.16159967395882105,-0.6914672134353188,0.9618921388714424,-0.0958615732357177,0.4522154947568255
2002-08-01,82.0,0.094,0.86,-0.24958623313900924,0.16657642471959533,1.0462842570446351,0.3840228953943102,0.6830980075117382
2002-09-01,72.6,0.144,1.01,-0.36227274995299197,0.6541012191257964,1.2271245102729051,0.6227916427688159,0.776534370464824
2002-10-01,25.3,0.171,1.21,-0.9293017122190962,0.9173646081051454,1.4682448479105985,1.0335092081232116,0.8876559729114281
2002-11-01,46.8,0.057,1.31,-0.6715612748254124,-0.19419192314099357,1.5888050167294454,0.5952840638162973,0.7668426580052191
2002-12-01,20.3,-0.036,-0.31,-0.9892413488222784,-1.100988040736528,-0.36426971813587095,0.09147031856300662,0.5456080321219456
2003-01-01,20.7,-0.116,0.92,-0.9844461778940238,-1.8810277117864498,1.118620358335943,0.1516388470782656,0.5752435802149206
2003-02-01,25.1,-0.16,0.63,-0.9316992976832233,-2.3100495308639073,0.7689958687612878,-0.07336603666530292,0.46338265664068407
2003-03-01,87.0,-0.072,0.38,-0.189646596535827,-1.452005892708993,0.4675954467141711,-0.2472593802019502,0.3788296424199294
2003-04-01,36.1,0.003,-0.04,-0.7998320971562224,-0.7207187010996909,-0.038757262324984935,0.17594898578320695,0.5870777562877687
2003-05-01,153.70000000000002,-0.026,-0.26,0.6099481557506247,-1.0034830818552876,-0.30398963372644766,-0.666816929177188,0.20855891769160537
2003-06-01,171.79999999999998,-0.033,-0.16,0.8269296402541441,-1.0717365530721559,-0.18342946490760093,-0.7716716790302389,0.17604977440770797
2003-07-01,49.4,-0.009,0.08,-0.6403926637917576,-0.8377246517571793,0.10591494025763107,0.09006192442025127,0.5449096049671548
2003-08-01,138.6,0.05,0.21,0.4289304532090139,-0.26244539435786174,0.26264315972213176,-0.24067021296743912,0.38193565316242994
2003-09-01,136.9,0.136,0.26,0.4085509767639321,0.5760972520208045,0.32292324413155504,0.03313833605058633,0.5165631055481023
2003-10-01,27.1,0.116,0.29,-0.9077234430419504,0.381087334258324,0.359091294777209,0.6400061807539142,0.7824518806178816
2003-11-01,82.0,0.109,0.35,-0.24958623313900924,0.3128338630414557,0.43142739606851704,0.30492875469564473,0.6479082973613113
2003-12-01,39.0,0.009,1.14,-0.7650671079263768,-0.6622157257709469,1.3838527297374057,0.4606393821793855,0.7153025910874266
2004-01-01,53.0,-0.021,0.37,-0.5972361254374664,-0.9547306024146676,0.4555394298322864,0.10330676796079023,0.5514704117649973
2004-02-01,45.5,-0.036,0.31,-0.6871455803422398,-1.100988040736528,0.3832033285409784,0.08991704365835719,0.5448377480637143
2004-03-01,9.2,-0.011,0.23,-1.122307342081343,-0.8572256435334272,0.2867551934859011,0.36133701667782353,0.6731955854348073
2004-04-01,27.5,-0.054,0.17,-0.902928272113696,-1.2764969667227604,0.2144190921945931,0.11139886447893851,0.5554701656797346
2004-05-01,24.8,-0.04,0.17,-0.9352956758794144,-1.1399900242890242,0.2144190921945931,0.1685346490919186,0.5834784452387652
2004-06-01,50.0,-0.02,0.28,-0.6331999073993757,-0.9449801065265435,0.3470352778953244,0.10251297732078972,0.5510776902623942
