agency_cd,site_no,station_nm,site_tp_cd,lat_va,long_va,dec_lat_va,dec_long_va,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,instruments_cd,construction_dt,inventory_dt,drain_area_va,contrib_drain_area_va,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no
USGS,254856080162401,G  - 195,GW,254856,0801624,25.8159311,-80.2731057,M,U,NAD27,NAD83,122,12,086,US,      S   T     R,,, 5.18,U,.01,NGVD29,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YYNNNNNN,,,,94.7,,,459832500
USGS,254856080173301,WELL 5 MIAMI FL,GW,254856,0801733,25.81593117,-80.2922729,M,U,NAD27,NAD83,122,12,086,US,      S   T     R,,,,,,,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,NNNNNNNN,,,,,,,
USGS,254857080171101,S  -  68,GW,254858.5,0801710.3,25.81625,-80.2861944,G,1,NAD83,NAD83,122,12,086,US,  NWSWS19 T53S  R41E  T,,, 6.2,L, .1,NGVD29,03090202,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19230101,,,,EST,Y,C,YYNYNYNN,N400BISCYN,112BSCNN,,61,,,2080-00200
USGS,254857080171102,S  -  68A,GW,254857,0801711,25.8162089,-80.2861616,M,U,NAD27,NAD83,122,12,086,US,      S   T     R,,,,,,,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,NYNYNNNN,N400BISCYN,112BSCNN,,,,,459832500
USGS,254859080162501,S  - 434,GW,254859,0801625,25.8167644,-80.2733835,M,U,NAD27,NAD83,122,12,086,US,      S   T     R,,,,,,,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YNNNNNNN,,,,62,,,459832500
USGS,254900080162401,F  -   3,GW,254900,0801645,25.8170422,-80.2789392,M,U,NAD27,NAD83,122,12,086,US,      S19 T53S  R41E  S,"HIALEAH, FL",  24000, 4,N,4.3,NAVD88,03090206,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YYNNNYNN,,,,48.2,,,459832500
USGS,254900080171001,"MIAMI, FLA",GW,254900,0801710,25.8170422,-80.2858838,M,U,NAD27,NAD83,122,12,086,US,      S   T     R,,,,,,,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,NNNNNNNN,,,,,,,
USGS,254902080170701,G  - 182,GW,254902,0801707,25.81759776,-80.28505048,M,U,NAD27,NAD83,122,12,086,US,      S   T     R,,, 6.05,U,.01,NGVD29,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YYNNNNNN,,,,301,,,459832500
USGS,254903080160901,F  - 237,GW,254903,0801609,25.81787547,-80.2689389,M,S,NAD27,NAD83,122,12,086,US,      S20 T53S  R41E  S,"HIALEAH, FL",  24000, 4,N,4.3,NAVD88,03090206,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,19391124,,,EST,Y,C,YYNNNYNN,N400BISCYN,112BSCNN,U,55.4,,S,459800200
USGS,254903080160902,F  - 237A,GW,254903,0801609,25.81787547,-80.2689389,M,S,NAD27,NAD83,122,12,086,US,NWSESWS20 T53S  R41E  T,"HIALEAH, FL",  24000, 4,N,4.3,NAVD88,03090202,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19750701,19750701,,,EST,Y,C,YYNYNYNN,N400BISCYN,112BSCNN,U,107,,S,459800200
USGS,254908080125201,G  -3603,GW,254910.1,0801249.8,25.8194722,-80.2138333,G,1,NAD83,NAD83,122,12,086,US,NESWNES23 T53S  R41E  T,,, 10.2,U, .1,NGVD29,03090202,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19950914,19960117,,,EST,Y,C,YYNNNYNN,N400BISCYN,112BSCNN,U,169,170,D,2080-00200
USGS,254908080163701,F  - 394,GW,254908,0801637,25.81926434,-80.2767169,M,U,NAD27,NAD83,122,12,086,US,      S   T     R,,,,,,,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YYNNNNNN,,,,80.9,,,459832500
USGS,254909080134101,F  -  98,GW,254909,0801341,25.81954197,-80.2278266,M,U,NAD27,NAD83,122,12,086,US,,,,,,,,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YNNNNNNN,,,,62.6,,,459832500
USGS,254910080171801,F  -  12,GW,254910,0801718,25.8198199,-80.2881061,M,U,NAD27,NAD83,122,12,086,US,      S   T     R,"HIALEAH, FL",  24000, 3,N,4.3,NAVD88,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YYNYNYNN,N400BISCYN,112BSCNN,,56.9,,,459832500
USGS,254912080164501,F  -   2,GW,254912,0801645,25.8203754,-80.2789392,M,U,NAD27,NAD83,122,12,086,US,      S19 T53S  R41E  S,"HIALEAH, FL",  24000, 3,N,4.3,NAVD88,03090206,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19390301,,,,EST,Y,C,YYNYNYNN,N400BISCYN,112BSCNN,,73.4,77,,459832500
USGS,254912080164502,F  -   2A,GW,254912,0801645,25.8203754,-80.2789392,M,S,NAD27,NAD83,122,12,086,US,      S   T     R,"HIALEAH, FL",  24000, 3,N,4.3,NAVD88,03090202,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19720101,19720101,,,EST,Y,C,YYNNNYNN,N400BISCYN,112BSCNN,U,90,,O,459800200
USGS,254912080172701,F  -  13,GW,254907,0801737,25.8189866,-80.293384,M,U,NAD27,NAD83,122,12,086,US,      S24 T53S  R40E  S,"HIALEAH, FL",  24000, 5,N,4.3,NAVD88,03090206,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YYNYNYNN,N400BISCYN,112BSCNN,,73.3,,,459832500
USGS,254923080113701,F  - 204,GW,254923,0801137,25.82343065,-80.1933809,M,U,NAD27,NAD83,122,12,086,US,      S   T     R,,,,,,,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YNNNNNNN,,,,73.5,,,459832500
USGS,254923080120201,G  -3226,GW,254923,0801202,25.82343066,-80.2003256,M,S,NAD27,NAD83,122,12,086,US,      S24 T53S  R41E  S,"MIAMI, FL",  24000, 10,N,4.3,NAVD88,03090206,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19791029,19791115,,,EST,Y,C,YYNNNYNN,N400BISCYN,112BSCNN,U,111,,D,2080-00200
USGS,254925080124101,F  -  43,GW,254925,0801241,25.8239862,-80.2111593,M,U,NAD27,NAD83,122,12,086,US,      S   T     R,,,,,,,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YNNNNNNN,,,,62.4,,,459832500
USGS,254925080125001,F  -  31,GW,254925,0801250,25.8239862,-80.21365939,M,U,NAD27,NAD83,122,12,086,US,      S   T     R,,,,,,,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YNNNNNNN,,,,54.2,,,459832500
USGS,254930080163801,F  - 263,GW,254930,0801638,25.82537523,-80.27699468,M,U,NAD27,NAD83,122,12,086,US,      S   T     R,,,,,,,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YYNNNNNN,,,,102,,,459832500
USGS,254933080164501,F  - 268,GW,254933,0801645,25.82620854,-80.2789392,M,U,NAD27,NAD83,122,12,086,US,,,,,,,,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YYNNNNNN,,,,54.6,,,459832500
USGS,254935080012501,F  - 203,GW,254917,0801146,25.82176404,-80.195881,M,S,NAD27,NAD83,122,12,086,US,      S   T     R,,,,,,,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YNNNNNNN,,,,120,,,459832500
USGS,254935080123001,F  -  50,GW,254935,0801230,25.82676389,-80.2081036,M,U,NAD27,NAD83,122,12,086,US,      S   T     R,,,,,,,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YNNNNNNN,,,,85.3,,,459832500
USGS,254935080201701,G  - 224,GW,254934,0802017,25.82648649,-80.3378296,M,S,NAD27,NAD83,122,12,086,US,    NWS22 T53S  R40E  T,,, 6.21,U,.01,NGVD29,03090202,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19420311,,,,EST,Y,C,YYNNNNNN,,,,105,,S,459800200
USGS,254936080173601,S  -  17,GW,254936,0801736,25.82704188,-80.2931062,M,U,NAD27,NAD83,122,12,086,US,      S   T     R,,,,,,,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19360101,,,,EST,Y,C,YYYNNNNN,,,,87,,,459832500
USGS,254937080231301,G  -3104,GW,254937,0802313,25.82731994,-80.3867198,M,U,NAD27,NAD83,122,12,086,US,      S   T     R,,,,,,,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19760101,,,,EST,Y,C,YYNNNNNN,,,,40,,,459832500
USGS,254938080170902,S  -  11,GW,254939.86,0801708.47,25.82773889,-80.2856861,N,H,NAD83,NAD83,122,12,086,US,      S18 T53S  R41E  S,"HIALEAH, FL",  24000, 3,N,4.3,NAVD88,03090206,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YYNNNNNN,N400BISCYN,112BSCNN,,91,,,459832500
